FedEx Ground Standard List Rates,,,,,,,,,,,,,,,,,
Weight,US Ground,US Ground,US Ground,US Ground,US Ground,US Ground,US Ground,To Hawaii,Intra Oahu,To Alaska,To Canada,To Canada,From Hawaii,From Hawaii,Intra Alaska,Alaska to US,Alaska to US
0,2,3,4,5,6,7,8,9,14,17,51,54,92,96,22,23,25
1,7.58,8.36,8.59,8.97,9.28,9.40,9.55,28.94,6.53,28.94,20.06,31.39,10.08,10.40,6.70,10.08,10.40
2,8.36,9.09,9.73,9.94,10.37,10.78,10.98,32.19,6.62,32.19,21.69,33.02,10.89,11.19,6.80,10.89,11.19
3,8.50,9.48,10.26,10.68,11.11,11.49,12.05,34.99,6.63,34.99,22.37,34.62,12.80,13.15,6.83,12.80,13.15
4,8.82,9.71,10.86,11.35,11.67,12.34,13.01,38.41,6.69,38.41,23.96,36.49,14.40,15.19,6.89,14.40,15.19
5,8.92,9.91,11.17,11.80,12.19,12.82,13.67,41.65,6.77,41.65,25.41,36.93,16.38,17.26,6.98,16.38,17.26
6,9.22,10.18,11.43,12.03,12.48,13.15,13.79,44.94,6.78,44.94,26.70,38.76,18.45,19.40,7.18,18.45,19.40
7,9.74,10.43,11.62,12.41,12.70,13.50,14.46,47.97,6.85,47.97,27.92,39.37,20.45,21.53,7.46,20.45,21.53
8,9.93,10.70,11.92,12.65,13.09,13.91,14.94,48.96,6.95,48.96,29.21,40.78,22.47,23.71,7.73,22.47,23.71
9,10.09,10.95,12.08,12.75,13.37,14.49,15.73,52.41,7.09,52.41,30.41,41.32,24.45,25.86,7.98,24.45,25.86
10,10.32,10.96,12.15,13.10,13.65,15.33,16.78,55.68,7.17,55.68,31.68,42.66,26.46,28.06,8.26,26.46,28.06
11,10.77,11.21,12.27,13.19,14.11,16.62,17.89,58.64,7.25,58.64,32.35,44.31,28.46,30.17,8.52,28.46,30.17
12,10.95,11.68,12.38,13.38,14.62,17.29,18.90,61.16,7.38,61.16,33.45,45.53,30.39,32.26,8.88,30.39,32.26
13,11.21,11.96,12.66,13.76,15.07,18.52,20.13,63.69,7.46,63.69,34.80,46.99,32.19,34.24,9.15,32.19,34.24
14,11.50,12.16,12.67,13.96,15.94,19.67,21.29,66.33,7.54,66.33,35.01,47.00,33.85,36.23,9.45,33.85,36.23
15,11.57,12.55,12.96,14.60,16.83,20.28,22.58,68.77,7.61,68.77,36.08,48.48,35.55,38.21,9.73,35.55,38.21
16,11.81,12.79,13.07,14.70,17.37,21.13,23.26,71.84,7.69,71.84,37.28,50.15,37.13,40.02,9.97,37.13,40.02
17,12.02,13.18,13.36,15.26,18.10,22.43,24.14,74.91,7.76,74.91,38.28,51.56,38.91,42.10,10.29,38.91,42.10
18,12.04,13.36,13.62,15.85,19.01,22.89,25.56,78.01,7.85,78.01,39.64,53.11,40.73,44.17,10.58,40.73,44.17
19,12.19,13.70,13.89,16.38,19.36,23.49,26.38,81.08,7.95,81.08,40.88,54.65,42.48,46.24,10.90,42.48,46.24
20,12.36,13.94,14.23,17.19,20.02,24.36,27.60,83.80,8.02,83.80,41.89,56.13,44.19,48.34,11.19,44.19,48.34
21,12.61,14.35,14.71,17.22,20.84,25.28,28.71,85.72,8.11,85.72,42.91,57.67,45.75,50.41,11.53,45.75,50.41
22,12.88,14.62,15.40,18.02,21.90,26.21,29.97,88.40,8.18,88.40,44.20,59.35,47.23,52.40,11.79,47.23,52.40
23,13.03,15.02,15.89,18.72,22.73,27.09,31.16,91.07,8.25,91.07,45.29,60.83,48.71,54.38,12.10,48.71,54.38
24,13.28,15.51,16.40,19.32,23.59,27.75,32.39,94.05,8.33,94.05,46.46,62.31,50.18,56.37,12.41,50.18,56.37
25,13.43,15.68,16.60,19.88,24.17,29.17,33.59,96.97,8.42,96.97,47.36,63.80,51.80,58.30,12.75,51.80,58.30
26,13.94,16.22,17.30,20.49,25.06,30.14,34.71,100.03,8.50,100.03,48.48,65.57,53.38,60.21,13.09,53.38,60.21
27,14.28,16.61,17.48,20.83,25.87,30.68,35.56,102.80,8.62,102.80,49.85,67.17,54.91,62.07,13.42,54.91,62.07
28,14.53,17.00,18.45,21.98,27.34,32.30,37.15,105.57,8.66,105.57,51.03,68.83,56.51,63.96,13.73,56.51,63.96
29,14.84,17.33,18.98,22.27,28.13,33.10,37.91,108.17,8.75,108.17,52.22,70.43,58.12,65.79,14.07,58.12,65.79
30,14.99,17.59,19.51,23.15,28.58,33.51,39.49,110.75,8.80,110.75,53.41,72.04,59.69,67.67,14.36,59.69,67.67
31,15.27,17.91,19.52,23.17,29.00,34.03,40.17,111.77,8.91,111.77,54.41,73.77,61.29,69.47,14.66,61.29,69.47
32,15.30,17.95,19.84,23.37,29.56,34.62,41.39,114.17,8.97,114.17,55.59,75.42,62.75,71.13,14.88,62.75,71.13
33,15.38,18.35,20.53,24.46,30.62,35.52,42.11,116.56,9.04,116.56,56.97,77.03,64.20,72.66,15.13,64.20,72.66
34,15.62,18.76,21.18,25.08,31.20,36.48,43.70,119.17,9.17,119.17,58.04,78.63,65.61,74.11,15.43,65.61,74.11
35,15.91,19.57,21.68,25.69,31.96,37.41,44.86,122.12,9.25,122.12,59.16,79.69,66.89,75.46,15.72,66.89,75.46
36,16.14,19.58,22.07,26.57,32.76,38.69,45.75,124.74,9.30,124.74,60.23,81.54,68.04,76.73,15.97,68.04,76.73
37,16.55,20.02,22.50,27.15,33.45,39.92,46.63,127.59,9.41,127.59,61.60,83.19,69.19,77.95,16.22,69.19,77.95
38,16.79,20.33,23.00,27.81,34.22,40.47,47.50,130.64,9.51,130.64,62.71,84.62,70.31,79.21,16.48,70.31,79.21
39,17.03,20.73,23.53,28.12,35.08,41.67,48.48,133.46,9.57,133.46,64.14,85.98,71.51,80.43,16.71,71.51,80.43
40,17.05,20.80,23.59,28.44,35.81,41.68,48.81,136.32,9.66,136.32,65.22,87.64,72.66,81.84,16.98,72.66,81.84
41,17.27,21.50,24.23,29.14,36.60,42.96,49.85,138.67,9.76,138.67,66.35,89.12,73.86,83.26,17.21,73.86,83.26
42,17.37,21.98,25.16,29.80,37.47,44.10,50.59,141.28,9.88,141.28,67.41,90.44,74.98,84.72,17.49,74.98,84.72
43,17.77,22.09,25.21,30.72,38.75,45.27,51.46,144.16,9.97,144.16,68.66,91.98,76.10,86.22,17.70,76.10,86.22
44,18.02,22.52,26.09,31.57,39.09,46.24,52.00,146.23,10.12,146.23,69.54,93.16,77.30,87.64,17.97,77.30,87.64
45,18.04,22.65,26.10,31.59,39.73,47.60,52.87,149.05,10.22,149.05,70.85,94.89,78.46,89.11,18.20,78.46,89.11
46,18.43,22.66,26.69,32.17,40.79,48.10,53.75,151.92,10.40,151.92,71.99,96.25,79.62,90.54,18.46,79.62,90.54
47,18.52,22.95,27.11,32.40,40.95,49.04,54.62,154.84,10.58,154.84,73.10,97.73,80.81,92.01,18.69,80.81,92.01
48,18.53,23.19,27.46,33.26,41.57,49.49,55.49,157.48,10.73,157.48,74.06,99.21,81.93,93.48,19.01,81.93,93.48
49,18.54,23.20,27.47,33.27,42.08,50.37,55.81,160.18,10.93,160.18,75.30,100.58,83.09,94.80,19.30,83.09,94.80
50,18.55,23.21,27.48,33.32,42.23,50.49,56.66,162.87,11.13,162.87,76.55,102.18,84.27,96.05,19.60,84.27,96.05
51,18.56,23.22,27.49,33.33,42.24,50.50,56.67,163.34,11.35,163.34,78.87,104.32,85.33,97.30,19.87,85.33,97.30
52,18.57,23.23,27.51,33.34,42.25,50.51,56.68,163.67,11.50,163.67,78.88,104.33,86.28,98.53,20.21,86.28,98.53
53,18.58,23.24,27.52,33.39,42.26,50.52,56.69,166.15,11.72,166.15,81.06,106.33,87.24,99.81,20.48,87.24,99.81
54,18.59,23.26,27.57,33.61,42.27,50.53,57.28,168.49,11.94,168.49,81.07,106.34,88.15,101.02,20.84,88.15,101.02
55,18.60,23.27,27.58,34.10,42.28,50.54,57.95,170.76,12.17,170.76,82.96,108.53,89.13,102.32,21.14,89.13,102.32
