State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
MD,20601,CHARLES,0.060000,0.060000,0.000000,0,0,0
MD,20602,CHARLES,0.060000,0.060000,0.000000,0,0,0
MD,20603,CHARLES,0.060000,0.060000,0.000000,0,0,0
MD,20604,CHARLES,0.060000,0.060000,0.000000,0,0,0
MD,20606,"ST. MARY'S",0.060000,0.060000,0.000000,0,0,0
MD,20607,"PRINCE GEORGE'S",0.060000,0.060000,0.000000,0,0,0
MD,20608,"PRINCE GEORGE'S",0.060000,0.060000,0.000000,0,0,0
MD,20609,"ST. MARY'S",0.060000,0.060000,0.000000,0,0,0
MD,20610,"MARYLAND STATE",0.060000,0.060000,0,0,0,0
MD,20611,CHARLES,0.060000,0.060000,0.000000,0,0,0
MD,20612,CHARLES,0.060000,0.060000,0.000000,0,0,0
MD,20613,"PRINCE GEORGE'S",0.060000,0.060000,0.000000,0,0,0
MD,20615,CALVERT,0.060000,0.060000,0.000000,0,0,0
MD,20616,CHARLES,0.060000,0.060000,0.000000,0,0,0
MD,20617,CHARLES,0.060000,0.060000,0.000000,0,0,0
MD,20618,"ST. MARY'S",0.060000,0.060000,0.000000,0,0,0
MD,20619,"ST. MARY'S",0.060000,0.060000,0.000000,0,0,0
MD,20620,"ST. MARY'S",0.060000,0.060000,0.000000,0,0,0
MD,20621,"ST. MARY'S",0.060000,0.060000,0.000000,0,0,0
MD,20622,CHARLES,0.060000,0.060000,0.000000,0,0,0
MD,20623,"PRINCE GEORGE'S",0.060000,0.060000,0.000000,0,0,0
MD,20624,"ST. MARY'S",0.060000,0.060000,0.000000,0,0,0
MD,20625,CHARLES,0.060000,0.060000,0.000000,0,0,0
MD,20626,"ST. MARY'S",0.060000,0.060000,0.000000,0,0,0
MD,20627,"ST. MARY'S",0.060000,0.060000,0.000000,0,0,0
MD,20628,"ST. MARY'S",0.060000,0.060000,0.000000,0,0,0
MD,20629,CALVERT,0.060000,0.060000,0.000000,0,0,0
MD,20630,"ST. MARY'S",0.060000,0.060000,0.000000,0,0,0
MD,20632,CHARLES,0.060000,0.060000,0.000000,0,0,0
MD,20634,"ST. MARY'S",0.060000,0.060000,0.000000,0,0,0
MD,20635,"MARYLAND STATE",0.060000,0.060000,0,0,0,0
MD,20636,"ST. MARY'S",0.060000,0.060000,0.000000,0,0,0
MD,20637,CHARLES,0.060000,0.060000,0.000000,0,0,0
MD,20639,CALVERT,0.060000,0.060000,0.000000,0,0,0
MD,20640,CHARLES,0.060000,0.060000,0.000000,0,0,0
MD,20643,CHARLES,0.060000,0.060000,0.000000,0,0,0
MD,20645,CHARLES,0.060000,0.060000,0.000000,0,0,0
MD,20646,CHARLES,0.060000,0.060000,0.000000,0,0,0
MD,20650,"ST. MARY'S",0.060000,0.060000,0.000000,0,0,0
MD,20653,"ST. MARY'S",0.060000,0.060000,0.000000,0,0,0
MD,20656,"ST. MARY'S",0.060000,0.060000,0.000000,0,0,0
MD,20657,CALVERT,0.060000,0.060000,0.000000,0,0,0
MD,20658,CHARLES,0.060000,0.060000,0.000000,0,0,0
MD,20659,"ST. MARY'S",0.060000,0.060000,0.000000,0,0,0
MD,20660,"MARYLAND STATE",0.060000,0.060000,0,0,0,0
MD,20661,"MARYLAND STATE",0.060000,0.060000,0,0,0,0
MD,20662,CHARLES,0.060000,0.060000,0.000000,0,0,0
MD,20664,CHARLES,0.060000,0.060000,0.000000,0,0,0
MD,20667,"ST. MARY'S",0.060000,0.060000,0.000000,0,0,0
MD,20670,"ST. MARY'S",0.060000,0.060000,0.000000,0,0,0
MD,20674,"ST. MARY'S",0.060000,0.060000,0.000000,0,0,0
MD,20675,CHARLES,0.060000,0.060000,0.000000,0,0,0
MD,20676,CALVERT,0.060000,0.060000,0.000000,0,0,0
MD,20677,CHARLES,0.060000,0.060000,0.000000,0,0,0
MD,20678,CALVERT,0.060000,0.060000,0.000000,0,0,0
MD,20680,"ST. MARY'S",0.060000,0.060000,0.000000,0,0,0
MD,20682,CHARLES,0.060000,0.060000,0.000000,0,0,0
MD,20684,"ST. MARY'S",0.060000,0.060000,0.000000,0,0,0
MD,20685,CALVERT,0.060000,0.060000,0.000000,0,0,0
MD,20686,"ST. MARY'S",0.060000,0.060000,0.000000,0,0,0
MD,20687,"ST. MARY'S",0.060000,0.060000,0.000000,0,0,0
MD,20688,CALVERT,0.060000,0.060000,0.000000,0,0,0
MD,20689,CALVERT,0.060000,0.060000,0.000000,0,0,0
MD,20690,"ST. MARY'S",0.060000,0.060000,0.000000,0,0,0
MD,20692,"ST. MARY'S",0.060000,0.060000,0.000000,0,0,0
MD,20693,CHARLES,0.060000,0.060000,0.000000,0,0,0
MD,20695,CHARLES,0.060000,0.060000,0.000000,0,0,0
MD,20697,"TAKOMA PARK",0.060000,0.060000,0.000000,0.000000,0,0
