State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
ND,58001,WELLS,0.050000,0.050000,0,0,0,1
ND,58002,"CASS COUNTY",0.050000,0.055000,0.005000,0,0,1
ND,58004,"CASS COUNTY",0.050000,0.055000,0.005000,0,0,1
ND,58005,"CASS COUNTY",0.050000,0.055000,0.005000,0,0,1
ND,58006,"CASS COUNTY",0.050000,0.055000,0.005000,0,0,1
ND,58007,"CASS COUNTY",0.050000,0.055000,0.005000,0,0,1
ND,58008,WELLS,0.050000,0.050000,0,0,0,1
ND,58009,WELLS,0.050000,0.050000,0,0,0,1
ND,58011,"CASS COUNTY",0.050000,0.055000,0.005000,0,0,1
ND,58012,CASSELTON,0.050000,0.075000,0.005000,0.020000,0,1
ND,58013,WELLS,0.050000,0.050000,0,0,0,1
ND,58015,WELLS,0.050000,0.050000,0,0,0,1
ND,58016,WELLS,0.050000,0.050000,0,0,0,1
ND,58017,WELLS,0.050000,0.050000,0,0,0,3
ND,58018,WELLS,0.050000,0.050000,0,0,0,1
ND,58021,"CASS COUNTY",0.050000,0.055000,0.005000,0,0,2
ND,58027,ENDERLIN,0.050000,0.070000,0,0.020000,0,1
ND,58029,"CASS COUNTY",0.050000,0.055000,0.005000,0,0,1
ND,58030,WELLS,0.050000,0.050000,0,0,0,1
ND,58031,WELLS,0.050000,0.050000,0,0,0,2
ND,58032,FORMAN,0.050000,0.065000,0,0.015000,0,1
ND,58033,WELLS,0.050000,0.050000,0,0,0,1
ND,58035,WELLS,0.050000,0.050000,0,0,0,1
ND,58036,"CASS COUNTY",0.050000,0.055000,0.005000,0,0,2
ND,58038,"CASS COUNTY",0.050000,0.055000,0.005000,0,0,1
ND,58040,GWINNER,0.050000,0.070000,0,0.020000,0,2
ND,58041,HANKINSON,0.050000,0.070000,0,0.020000,0,1
ND,58042,"CASS COUNTY",0.050000,0.055000,0.005000,0,0,3
ND,58043,WELLS,0.050000,0.050000,0,0,0,1
ND,58045,HILLSBORO,0.050000,0.070000,0,0.020000,0,2
ND,58046,HOPE,0.050000,0.080000,0.010000,0.020000,0,2
ND,58047,HORACE,0.050000,0.075000,0.005000,0.020000,0,4
ND,58048,"CASS COUNTY",0.050000,0.055000,0.005000,0,0,1
ND,58049,WELLS,0.050000,0.050000,0,0,0,2
ND,58051,KINDRED,0.050000,0.075000,0.005000,0.020000,0,1
ND,58052,"CASS COUNTY",0.050000,0.055000,0.005000,0,0,1
ND,58053,WELLS,0.050000,0.050000,0,0,0,2
ND,58054,LISBON,0.050000,0.075000,0,0.025000,0,1
ND,58056,WELLS,0.050000,0.050000,0,0,0,1
ND,58057,WELLS,0.050000,0.050000,0,0,0,1
ND,58058,WELLS,0.050000,0.050000,0,0,0,1
ND,58059,"CASS COUNTY",0.050000,0.055000,0.005000,0,0,2
ND,58060,WELLS,0.050000,0.050000,0,0,0,2
ND,58061,WELLS,0.050000,0.050000,0,0,0,1
ND,58062,WELLS,0.050000,0.050000,0,0,0,1
ND,58063,WELLS,0.050000,0.050000,0,0,0,1
ND,58064,"CASS COUNTY",0.050000,0.055000,0.005000,0,0,1
ND,58065,WELLS,0.050000,0.050000,0,0,0,1
ND,58067,WELLS,0.050000,0.050000,0,0,0,1
ND,58068,WELLS,0.050000,0.050000,0,0,0,1
ND,58069,WELLS,0.050000,0.050000,0,0,0,1
ND,58071,"TOWER CITY",0.050000,0.075000,0.005000,0.020000,0,1
ND,58072,"VALLEY CITY",0.050000,0.075000,0,0.025000,0,1
ND,58074,WAHPETON,0.050000,0.070000,0,0.020000,0,1
ND,58075,WAHPETON,0.050000,0.070000,0,0.020000,0,4
ND,58076,WAHPETON,0.050000,0.070000,0,0.020000,0,1
ND,58077,WELLS,0.050000,0.050000,0,0,0,1
ND,58078,"WEST FARGO",0.050000,0.075000,0.005000,0.020000,0,2
ND,58079,"CASS COUNTY",0.050000,0.055000,0.005000,0,0,3
ND,58081,WELLS,0.050000,0.050000,0,0,0,1
ND,58102,FARGO,0.050000,0.075000,0.005000,0.020000,0,2
ND,58103,FARGO,0.050000,0.075000,0.005000,0.020000,0,1
ND,58104,FARGO,0.050000,0.075000,0.005000,0.020000,0,4
ND,58105,FARGO,0.050000,0.075000,0.005000,0.020000,0,1
ND,58106,FARGO,0.050000,0.075000,0.005000,0.020000,0,1
ND,58107,FARGO,0.050000,0.075000,0.005000,0.020000,0,1
ND,58108,FARGO,0.050000,0.075000,0.005000,0.020000,0,1
ND,58109,FARGO,0.050000,0.075000,0.005000,0.020000,0,1
ND,58121,FARGO,0.050000,0.075000,0.005000,0.020000,0,1
ND,58122,FARGO,0.050000,0.075000,0.005000,0.020000,0,2
ND,58124,FARGO,0.050000,0.075000,0.005000,0.020000,0,1
ND,58125,FARGO,0.050000,0.075000,0.005000,0.020000,0,1
ND,58126,FARGO,0.050000,0.075000,0.005000,0.020000,0,1
ND,58201,"GRAND FORKS",0.050000,0.072500,0,0.022500,0,1
ND,58202,"GRAND FORKS",0.050000,0.072500,0,0.022500,0,1
ND,58203,"GRAND FORKS",0.050000,0.072500,0,0.022500,0,1
ND,58204,WELLS,0.050000,0.050000,0,0,0,1
ND,58205,WELLS,0.050000,0.050000,0,0,0,1
