State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
NJ,07001,"WOODBRIDGE TOWNSHIP ",0.066250,0.066250,0.000000,0.000000,0,0
NJ,07002,"BAYONNE CITY",0.066250,MQWM,0.066250,0.000000,0.000000,0
NJ,07003,"BLOOMFIELD ",0.066250,0.066250,0.000000,0.000000,0,0
NJ,07004,"FAIRFIELD TOWNSHIP(ESSEX COUNTY)",0.066250,0.066250,0.000000,0.000000,0,0
NJ,07005,"BOONTON CITY",0.066250,0.066250,0.000000,0.000000,0,0
NJ,07006,CALDWELL,0.066250,0.066250,0.000000,0.000000,0,0
NJ,07007,"WEST CALDWELL ",0.066250,0.066250,0.000000,0.000000,0,0
NJ,07008,"CARTERET CITY",0.066250,0.066250,0.000000,0.000000,0,0
NJ,07009,"CEDAR GROVE CITY",0.066250,0.066250,0.000000,0.000000,0,0
NJ,07010,"CLIFFSIDE PARK",0.066250,0.066250,0.000000,0.000000,0,0
NJ,07011,"CLIFTON CITY",0.066250,0.066250,0.000000,0.000000,0,0
NJ,07012,"CLIFTON CITY",0.066250,0.066250,0.000000,0.000000,0,0
NJ,07013,"CLIFTON CITY",0.066250,0.066250,0.000000,0.000000,0,0
NJ,07014,"CLIFTON CITY",0.066250,0.066250,0.000000,0.000000,0,0
NJ,07015,"CLIFTON CITY",0.066250,0.066250,0.000000,0.000000,0,0
NJ,07016,"CRANFORD CITY",0.066250,MSMJ,0.066250,0.000000,0.000000,0
NJ,07017,"EAST ORANGE",0.066250,0.066250,0.000000,0.000000,0,0
NJ,07018,"EAST ORANGE",0.066250,0.066250,0.000000,0.000000,0,0
NJ,07019,"EAST ORANGE",0.066250,0.066250,0.000000,0.000000,0,0
NJ,07020,EDGEWATER,0.066250,0.066250,0.000000,0.000000,0,0
NJ,07021,"ESSEX FELLS",0.066250,0.066250,0.000000,0.000000,0,0
NJ,07022,FAIRVIEW,0.066250,0.066250,0.000000,0.000000,0,0
NJ,07023,FANWOOD,0.066250,0.066250,0.000000,0.000000,0,0
NJ,07024,"FORT LEE BOROUGH",0.066250,0.066250,0.000000,0.000000,0,0
NJ,07026,"GARFIELD CITY",0.066250,0.066250,0.000000,0.000000,0,0
NJ,07027,"GARWOOD  BOROUGH",0.066250,0.066250,0.000000,0.000000,0,0
NJ,07028,"GLEN RIDGE BOROUGH",0.066250,0.066250,0.000000,0.000000,0,0
NJ,07029,HARRISON,0.066250,0.066250,0.000000,0.000000,0,0
NJ,07030,HOBOKEN,0.066250,0.066250,0.000000,0.000000,0,0
NJ,07031,"NORTH ARLINGTON BOROUGH",0.066250,0.066250,0.000000,0.000000,0,0
NJ,07032,KEARNY,0.066250,0.066250,0.000000,0.000000,0,0
NJ,07033,KENILWORTH,0.066250,0.066250,0.000000,0.000000,0,0
NJ,07034,"PARSIPPANY TROY HILLS TOWNSHIP",0.066250,0.066250,0.000000,0.000000,0,0
NJ,07035,"LINCOLN PARK",0.066250,0.066250,0.000000,0.000000,0,0
NJ,07036,LINDEN,0.066250,0.066250,0.000000,0.000000,0,0
NJ,07039,LIVINGSTON,0.066250,0.066250,0.000000,0.000000,0,0
NJ,07040,"MAPLEWOOD TOWNSHIP",0.066250,0.066250,0.000000,0.000000,0,0
NJ,07041,MILLBURN,0.066250,0.066250,0.000000,0.000000,0,0
NJ,07042,"MONTCLAIR TOWNSHIP",0.066250,0.066250,0.000000,0.000000,0,0
NJ,07043,"MONTCLAIR TOWNSHIP",0.066250,0.066250,0.000000,0.000000,0,0
NJ,07044,VERONA,0.066250,0.066250,0.000000,0.000000,0,0
NJ,07045,"MONTVILLE TOWNSHIP",0.066250,0.066250,0.000000,0.000000,0,0
NJ,07046,"MOUNTAIN LAKES BOROUGH",0.066250,0.066250,0.000000,0.000000,0,0
NJ,07047,"NORTH BERGEN ",0.066250,0.066250,0.000000,0.000000,0,0
NJ,07050,ORANGE,0.066250,0.066250,0.000000,0.000000,0,0
NJ,07051,ORANGE,0.066250,0.066250,0.000000,0.000000,0,0
NJ,07052,"WEST ORANGE ",0.066250,0.066250,0.000000,0.000000,0,0
NJ,07054,"PARSIPPANY TROY HILLS TOWNSHIP",0.066250,0.066250,0.000000,0.000000,0,0
NJ,07055,"PASSAIC  CITY",0.066250,0.066250,0.000000,0.000000,0,0
NJ,07057,"WALLINGTON ",0.066250,0.066250,0.000000,0.000000,0,0
NJ,07058,"MONTVILLE TOWNSHIP",0.066250,0.066250,0.000000,0.000000,0,0
NJ,07059,"WARREN TOWNSHIP ",0.066250,0.066250,0.000000,0.000000,0,0
NJ,07060,PLAINFIELD,0.066250,0.066250,0.000000,0.000000,0,0
NJ,07061,PLAINFIELD,0.066250,0.066250,0.000000,0.000000,0,0
NJ,07062,PLAINFIELD,0.066250,0.066250,0.000000,0.000000,0,0
NJ,07063,PLAINFIELD,0.066250,0.066250,0.000000,0.000000,0,0
NJ,07064,"WOODBRIDGE TOWNSHIP ",0.066250,0.066250,0.000000,0.000000,0,0
NJ,07065,RAHWAY,0.066250,0.066250,0.000000,0.000000,0,0
NJ,07066,"CLARK CITY",0.066250,0.066250,0.000000,0.000000,0,0
NJ,07067,"WOODBRIDGE TOWNSHIP ",0.066250,0.066250,0.000000,0.000000,0,0
