State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
WY,82001,CHEYENNE,0.040000,0.060000,0.020000,0.000000,0,1
WY,82002,CHEYENNE,0.040000,0.060000,0.020000,0.000000,0,1
WY,82003,CHEYENNE,0.040000,0.060000,0.020000,0.000000,0,1
WY,82005,"LARAMIE COUNTY",0.040000,0.060000,0.020000,0,0,1
WY,82006,CHEYENNE,0.040000,0.060000,0.020000,0.000000,0,1
WY,82007,"LARAMIE COUNTY",0.040000,0.060000,0.020000,0,0,1
WY,82009,CHEYENNE,0.040000,0.060000,0.020000,0.000000,0,3
WY,82010,CHEYENNE,0.040000,0.060000,0.020000,0.000000,0,1
WY,82050,"LARAMIE COUNTY",0.040000,0.060000,0.020000,0,0,1
WY,82051,"ALBANY COUNTY",0.040000,0.060000,0.020000,0,0,3
WY,82052,"ALBANY COUNTY",0.040000,0.060000,0.020000,0,0,1
WY,82053,"LARAMIE COUNTY",0.040000,0.060000,0.020000,0,0,2
WY,82054,"LARAMIE COUNTY",0.040000,0.060000,0.020000,0,0,1
WY,82055,"ALBANY COUNTY",0.040000,0.060000,0.020000,0,0,1
WY,82058,"ALBANY COUNTY",0.040000,0.060000,0.020000,0,0,2
WY,82059,"LARAMIE COUNTY",0.040000,0.060000,0.020000,0,0,3
WY,82060,"LARAMIE COUNTY",0.040000,0.060000,0.020000,0,0,1
WY,82061,CHEYENNE,0.040000,0.060000,0.020000,0.000000,0,1
WY,82063,"ALBANY COUNTY",0.040000,0.060000,0.020000,0,0,3
WY,82070,LARAMIE,0.040000,0.060000,0.020000,0.000000,0,4
WY,82071,LARAMIE,0.040000,0.060000,0.020000,0.000000,0,1
WY,82072,LARAMIE,0.040000,0.060000,0.020000,0.000000,0,5
WY,82073,LARAMIE,0.040000,0.060000,0.020000,0.000000,0,1
WY,82081,"LARAMIE COUNTY",0.040000,0.060000,0.020000,0,0,1
WY,82082,"LARAMIE COUNTY",0.040000,0.060000,0.020000,0,0,1
WY,82083,"CARBON COUNTY",0.040000,0.050000,0.010000,0,0,3
WY,82084,"ALBANY COUNTY",0.040000,0.060000,0.020000,0,0,1
WY,82190,"TETON COUNTY",0.040000,0.060000,0.020000,0,0,3
WY,82201,WHEATLAND,0.040000,0.060000,0.020000,0.000000,0,3
WY,82210,CHUGWATER,0.040000,0.060000,0.020000,0.000000,0,2
WY,82212,"GOSHEN COUNTY",0.040000,0.052500,0.012500,0,0,1
WY,82213,GLENDO,0.040000,0.060000,0.020000,0.000000,0,1
WY,82214,GUERNSEY,0.040000,0.060000,0.020000,0.000000,0,1
WY,82215,HARTVILLE,0.040000,0.060000,0.020000,0.000000,0,2
WY,82217,"GOSHEN COUNTY",0.040000,0.052500,0.012500,0,0,1
WY,82218,"GOSHEN COUNTY",0.040000,0.052500,0.012500,0,0,1
WY,82219,"GOSHEN COUNTY",0.040000,0.052500,0.012500,0,0,1
WY,82221,"GOSHEN COUNTY",0.040000,0.052500,0.012500,0,0,1
WY,82222,"NIOBRARA COUNTY",0.040000,0.060000,0.020000,0,0,1
WY,82223,"GOSHEN COUNTY",0.040000,0.052500,0.012500,0,0,2
WY,82224,"CONVERSE COUNTY",0.040000,0.050000,0.010000,0,0,1
WY,82225,"NIOBRARA COUNTY",0.040000,0.060000,0.020000,0,0,1
WY,82227,"NIOBRARA COUNTY",0.040000,0.060000,0.020000,0,0,1
WY,82229,"CONVERSE COUNTY",0.040000,0.050000,0.010000,0,0,1
WY,82240,TORRINGTON,0.040000,0.052500,0.012500,0.000000,0,2
WY,82242,"VAN TASSELL",0.040000,0.060000,0.020000,0.000000,0,1
WY,82243,"GOSHEN COUNTY",0.040000,0.052500,0.012500,0,0,1
