State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
PA,15001,BEAVER,0.060000,0.060000,0.000000,0,0,3
PA,15003,BEAVER,0.060000,0.060000,0.000000,0,0,2
PA,15004,WASHINGTON,0.060000,0.060000,0.000000,0,0,1
PA,15005,BEAVER,0.060000,0.060000,0.000000,0,0,1
PA,15006,"ALLEGHENY COUNTY",0.060000,0.070000,0.010000,0,0,1
PA,15007,"ALLEGHENY COUNTY",0.060000,0.070000,0.010000,0,0,1
PA,15009,BEAVER,0.060000,0.060000,0.000000,0,0,3
PA,15010,BEAVER,0.060000,0.060000,0.000000,0,0,3
PA,15012,WESTMORELAND,0.060000,0.060000,0.000000,0,0,3
PA,15014,"ALLEGHENY COUNTY",0.060000,0.070000,0.010000,0,0,1
PA,15015,"ALLEGHENY COUNTY",0.060000,0.070000,0.010000,0,0,1
PA,15017,"ALLEGHENY COUNTY",0.060000,0.070000,0.010000,0,0,1
PA,15018,"ALLEGHENY COUNTY",0.060000,0.070000,0.010000,0,0,1
PA,15019,WASHINGTON,0.060000,0.060000,0.000000,0,0,1
PA,15020,"ALLEGHENY COUNTY",0.060000,0.070000,0.010000,0,0,1
PA,15021,WASHINGTON,0.060000,0.060000,0.000000,0,0,3
PA,15022,WASHINGTON,0.060000,0.060000,0.000000,0,0,2
PA,15024,"ALLEGHENY COUNTY",0.060000,0.070000,0.010000,0,0,1
PA,15025,"ALLEGHENY COUNTY",0.060000,0.070000,0.010000,0,0,4
PA,15026,BEAVER,0.060000,0.060000,0.000000,0,0,1
PA,15027,BEAVER,0.060000,0.060000,0.000000,0,0,1
PA,15028,"ALLEGHENY COUNTY",0.060000,0.070000,0.010000,0,0,1
PA,15030,"ALLEGHENY COUNTY",0.060000,0.070000,0.010000,0,0,1
PA,15031,"ALLEGHENY COUNTY",0.060000,0.070000,0.010000,0,0,1
PA,15032,"ALLEGHENY COUNTY",0.060000,0.070000,0.010000,0,0,1
PA,15033,WASHINGTON,0.060000,0.060000,0.000000,0,0,1
PA,15034,"ALLEGHENY COUNTY",0.060000,0.070000,0.010000,0,0,1
PA,15035,"ALLEGHENY COUNTY",0.060000,0.070000,0.010000,0,0,1
PA,15037,"ALLEGHENY COUNTY",0.060000,0.070000,0.010000,0,0,1
PA,15038,WASHINGTON,0.060000,0.060000,0.000000,0,0,1
PA,15042,BEAVER,0.060000,0.060000,0.000000,0,0,1
PA,15043,BEAVER,0.060000,0.060000,0.000000,0,0,1
PA,15044,"ALLEGHENY COUNTY",0.060000,0.070000,0.010000,0,0,1
PA,15045,"ALLEGHENY COUNTY",0.060000,0.070000,0.010000,0,0,1
PA,15046,"ALLEGHENY COUNTY",0.060000,0.070000,0.010000,0,0,2
PA,15047,"ALLEGHENY COUNTY",0.060000,0.070000,0.010000,0,0,1
PA,15049,"ALLEGHENY COUNTY",0.060000,0.070000,0.010000,0,0,1
PA,15050,BEAVER,0.060000,0.060000,0.000000,0,0,1
PA,15051,"ALLEGHENY COUNTY",0.060000,0.070000,0.010000,0,0,1
PA,15052,BEAVER,0.060000,0.060000,0.000000,0,0,1
